	要	评论	来自	我们	的	是	男	自动控制	就是	你	版	东方	推荐	转发	of	看	・	肖	论道	刘	赞	相册	好友	中国	编辑	新闻	也	谁能	他	新	照片	25	登录	有	啊	搜索	最	被	全部	服务	会员	首页	人	吧	举报	广告	博	yy	更多	杰	就	娱乐	好男儿	资料	王	信息	中	请	游戏	新浪	网	好	京	上传	系统	评	和	注册	宽频	the	00	管理	微	第	臻	上海	在	我	小	上	10	自己	对	或	不	贴	百里挑一	只	与	了	平面	一	视频	相关	手机	道
Bing_0	0.0	0.03610098766656703	0.0	0.014466550517041333	0.028488537811437526	0.03354119220108214	0.004192649025135268	0.0	0.0	0.06251610191942697	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016957462982998526	0.0	0.0	0.0	0.0	0.007085959128543534	0.0	0.0	0.0	0.060952674436640104	0.0	0.006197463672628008	0.0	0.0	0.0	0.0	0.011006610732694603	0.008159490442223152	0.0	0.030987318363140042	0.005932268497495244	0.0	0.004575800017651948	0.007419634409498815	0.002096324512567634	0.020838700639808992	0.004778577866446952	0.0	0.0031888289572776975	0.027454800105911687	0.0	0.009151600035303896	0.0173598606204496	0.03542979564271767	0.0	0.03559361098497146	0.0	0.0	0.0036664149478489163	0.021757993744351212	0.0	0.0	0.031258050959713485	0.004011220851840781	0.0	0.0	0.0	0.0	0.0	0.014009074815889318	0.002893310103408267	0.0	0.0	0.0	0.0	0.005209675159952248	0.0	0.0016957462982998526	0.013142028046235512	0.020059043541121015	0.10216199840186817	0.0	0.0	0.006197463672628008	0.049601713899804736	0.00647700052797947	0.0	0.018592391017884024	0.01943100158393841	0.0	0.007776339449706471	0.0056800149371388385	0.04033056442633808	0.0	0.01295400105595894	0.0	0.0	0.006077916788173954	0.0
Google_12	0.012265892843153145	0.0	0.0	0.04860760973725889	0.005697707562287505	0.01173941727037875	0.01173941727037875	0.0	0.0	0.0	0.0	0.7993405494535816	0.0	0.0	0.0	0.0	0.0	0.0028488537811437527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4715256384369055	0.0	0.03627120295668504	0.0	0.033220703585973364	0.0	0.0	0.0	0.0	0.0	0.0	0.017352898283358422	0.0	0.0	0.0	0.0	0.0	0.014587090447866295	0.0	0.0	0.02678616324113266	0.0	0.0	0.025624480098850908	0.024303804868629444	0.0	0.030461191242091696	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014587090447866295	0.011231418385154188	0.017352898283358422	0.016610351792986682	0.0	0.0	0.0	0.0	0.0	0.04407397649113064	0.0	0.03792610853835385	0.0	0.0	0.022846573238224827	0.0028488537811437527	0.09812714274522516	0.0	0.01865566927338462	0.014587090447866295	0.0	0.034705796566716844	0.0	0.0	0.0	0.017352898283358422	0.0	0.13882318626686738	0.0	0.015904041823988746	0.0	0.0	0.01813560147834252	0.02453178568630629	0.0	0.0	0.0
Google_17	0.005146528465658663	0.0	0.005909776503596201	0.005098700322090093	0.028488537811437526	0.01231407405983785	0.00246281481196757	0.0	0.0	0.0	0.002806996788682126	0.36892640744011457	0.00333651227076687	0.0	0.0	0.0	0.0	0.0011953232648155606	0.0	0.008716773292278327	0.0	0.0	0.0	0.01902335819406558	0.007141183909579987	0.011414014916439348	0.01193478940018128	0.011414014916439348	0.0	0.03136220268605878	0.0	0.0	0.012922189746264714	0.009698132533702938	0.0	0.0	0.003640468171333935	0.013938756749359455	0.00667302454153374	0.12095471375331723	0.2527864254760715	0.00246281481196757	0.003060228765286635	0.0	0.0	0.011238949611664054	0.0053757650557029885	0.0	0.0	0.013596534192240247	0.0	0.009585689551707178	0.0	0.05036079044796901	0.01465487090006908	0.03230547436566178	0.022366608953983413	0.003927644889170549	0.0	0.0	0.0	0.0	0.0	0.0	0.020019073624601223	0.0	0.04731736458793385	0.025493501610450463	0.6195013478823257	0.0	0.0	0.005909776503596201	0.0	0.00479298739263458	0.0011953232648155606	0.03602569925961064	0.039276448891705486	0.006522961284400218	0.003060228765286635	0.016127295167108965	0.0	0.012487144757992803	0.06848408949863609	0.13946837267645323	0.02184280902800361	0.0	0.036404681713339354	0.004567919676750655	0.020019073624601223	0.004307396582088238	0.0	0.015218686555252462	0.061758341587903956	0.018361372591719813	0.0	0.0
Baidu_1	0.0	0.0	0.0	0.0	0.028488537811437526	0.01956569545063125	0.0	0.0	0.0	0.0	0.0	0.0	0.026506736373314577	0.0	0.0	0.0	0.0	0.011078875815559039	0.0	0.0	0.0	0.34854188540174813	0.09920342779960947	0.09067800739171258	0.0	0.0	0.06321018089725641	0.0	0.0	0.16610351792986683	0.0725791681972604	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009782847725315624	0.0	0.0	0.0	0.0	0.0	0.0	0.021353733415709092	0.0	0.03306780926653649	0.0	0.0	0.0	0.0	0.03421987284658989	0.0	0.015601478309760788	0.02328496154122087	0.0	0.0	0.0	0.0	0.06045200492780839	0.0	0.0	0.01634392061853754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011078875815559039	0.04088630947717715	0.031202956619521577	0.062185564244615396	0.0	0.0	0.0	0.03306780926653649	0.0	0.0	0.0	0.0	0.0	0.0	0.05301347274662915	0.11976955496306461	0.0	0.06045200492780839	0.0	0.0	0.0	0.0
Yahoo_17	0.01719517688292497	0.0	0.30802638841641133	0.011356918162910954	0.028488537811437526	0.032914254029099296	0.009874276208729788	0.0	0.09157184772551545	0.08997644575319397	0.003751406923192	0.0	0.17836308587650931	0.0	0.0	0.262505963479811	0.0	0.001597488101575936	0.012357189670410457	0.0	0.012811162563490557	0.3350469392379955	0.2169495523841927	0.005084748078039958	0.3912968342230604	0.0	0.11696837212763335	0.0	0.03892238867295347	0.0232855398967103	0.006104789848367697	0.0	0.0	0.019441583443731588	0.05124465025396223	0.15276675702744907	0.004865298584119184	0.013971323938026182	0.0044590771469127325	0.010776650508862532	0.08154663612682808	0.0016457127014549648	0.0040898384433269985	0.011254220769576	0.19830517504355838	0.0	0.014368867345150043	0.0	0.0	0.013628301795493144	0.02225123614196848	0.008540520908997672	0.0	0.0	0.007834192668074311	0.002878307061862701	0.008540520908997672	0.005249095506087742	0.07834192668074311	0.0040898384433269985	0.01259598323568694	0.03892238867295347	0.0	0.0	0.0	0.0	0.01374722295017176	0.08858396167070544	0.0	0.02056767374051519	0.15950232562859093	0.30802638841641133	0.028628869103288986	0.24981766998806587	0.001597488101575936	0.13412237968681476	0.010498191012175483	0.012204643449877787	0.028628869103288986	0.010776650508862532	0.014595895752357552	0.01668842710647636	0.015254244234119875	0.005824759723344864	0.019461194336476736	0.040677984624319666	0.029191791504715105	0.25640117363144327	0.008918154293825465	0.028783070618627008	0.03949056261748863	0.015254244234119875	0.0	0.0	0.01431434608055922	0.0
Baidu_10	0.043291386505246394	0.0	0.09942329882520667	0.0	0.028488537811437526	0.062149856137299266	0.0	0.0	0.07684853103239336	0.07722577295929216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0067031853673970646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03200400260883974	0.0	0.0	0.0	0.0	0.0	0.0	0.01811640327172406	0.027192802986657254	0.0	0.024654665161292687	0.0	0.05862477103407064	0.028065956159980143	0.0	0.0	0.010358309356216544	0.0	0.07083538954968424	0.0	0.0	0.02260983538133904	0.0	0.04521967076267808	0.0	0.0	0.026877521684198557	0.0	0.0	0.0	0.0	0.0	0.0	0.024654665161292687	0.0	0.0	0.030622761676514863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025741924319764048	0.0	0.0067031853673970646	0.0	0.01651921232798201	0.05486961550995477	0.0	0.0	0.0	0.0	0.03200400260883974	0.0	0.0	0.0	0.0	0.0	0.0	0.01811640327172406	0.0	0.0	0.021645693252623197	0.0	0.030032059423918362	0.0
Yahoo_18	0.013142028046235512	0.1985554321661187	0.3470938378629983	0.030379756085786802	0.028488537811437526	0.0377338412262174	0.006288973537702901	0.0	0.011664509174559707	0.07814512739928373	0.0	0.0	0.017040044811416515	0.0	0.0	0.0	0.0	0.009665753900309161	0.0	0.0	0.0	0.0	0.0	0.009715500791969206	0.0	0.0	0.020317558145546703	0.009715500791969206	0.11155434610730415	0.0	0.0	0.012859987560820657	0.005499622421773375	0.016509916099041903	0.0	0.00748445192396385	0.027888586526826038	0.0	0.14484038089704038	0.006863700026477922	0.0	0.0031444867688514505	0.015629025479856742	0.0	0.0	0.0	0.12354660047660261	0.0	0.12354660047660261	0.08245933794713561	0.0318868160784459	0.0	0.0	0.012859987560820657	0.0	0.0	0.0	0.005014760885280254	0.0	0.0	0.0	0.018592391017884024	0.0	0.0	0.0	0.0	0.0893078519512944	0.0	0.0	0.0	0.0	0.0	0.17973379301835254	0.024478471326669457	0.009665753900309161	0.006571014023117756	0.010029521770560507	0.049970542696565944	0.015629025479856742	0.0	0.06507336856259409	0.11691832562096832	0.0	0.0	0.03718478203576805	0.0	0.009296195508942012	0.0	0.0	0.0219984896870935	0.0	0.0	0.013142028046235512	0.0	0.054701251093565585	0.0
Baidu_13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5688916280753077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5205869485007527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Baidu_11	0.031722136663327107	0.005809354337148718	0.0	0.01676124473698582	0.028488537811437526	0.05464901143107349	0.0	0.0	0.011262284720264545	0.10563065496730766	0.0	0.0	0.016452457059298705	0.0	0.0	0.0	0.0	0.01964726745616381	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029425429038377984	0.0	0.18848837790544495	0.0	0.0	0.0	0.0	0.015940608647350803	0.0	0.0	0.008975637043116425	0.0	0.03290491411859741	0.0	0.0	0.0	0.030180187133516473	0.0	0.0	0.004618304007091838	0.0	0.0	0.0	0.0	0.09236181208929159	0.0	0.0	0.0	0.0	0.0	0.007877894286747853	0.0048418380961326585	0.0	0.0	0.0	0.01795127408623285	0.0	0.0	0.0	0.0	0.010144502452885368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01964726745616381	0.0	0.019367352384530634	0.02894845232076924	0.0	0.01988106214566019	0.0	0.1436739299166758	0.0	0.0	0.008975637043116425	0.0	0.0	0.0	0.0	0.04778982242368588	0.0	0.37521934093122455	0.0	0.0	0.0	0.12324698437050977
Baidu_17	0.0	0.016847127577731283	0.1267647060021385	0.012151902434314722	0.028488537811437526	0.0	0.0	0.0	0.0	0.17504508537439556	0.08028010815630882	0.0	0.0	0.0	0.0	0.0	0.0	0.0028488537811437527	0.0	0.0	0.03426985985733724	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03266062568876718	0.0	0.0307978855619309	0.011556941269329334	0.06853971971467449	0.0	0.0	0.0	0.0	0.0	0.0	0.008804562952784062	0.0	0.0	0.02720340221751378	0.02678616324113266	0.0	0.0	0.05765508022241454	0.0	0.0	0.0	0.0	0.0	0.1257387923225927	0.0	0.0	0.04212399143635413	0.04191293077419757	0.0	0.08423563788865641	0.0	0.04983105537896005	0.0	0.0	0.0	0.0	0.024303804868629444	0.0	0.055018527255878136	0.0	0.0	0.0	0.03426985985733724	0.0028488537811437527	0.0	0.0	0.0	0.0	0.019218360074138185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09798187706630154	0.023856062735983122	0.0	0.0	0.19042381552259643	0.0	0.0	0.06381812627582652	0.0
